RECNO,Name,StaadName,D,B,T,AX,Rz,R1
1,"ISA20X20X3","ISA20X20X3",2.0000000000000000e+01,2.0000000000000000e+01,3.0000000000000000e+00,1.1200000000000001e+00,3.7000000000000002e+00,4.0000000000000000e+00
2,"ISA30X20X3","ISA30X20X3",3.0000000000000000e+01,2.0000000000000000e+01,3.0000000000000000e+00,1.4099999999999999e+00,4.0999999999999996e+00,4.5000000000000000e+00
3,"ISA25X25X3","ISA25X25X3",2.5000000000000000e+01,2.5000000000000000e+01,3.0000000000000000e+00,1.4099999999999999e+00,4.7000000000000002e+00,4.5000000000000000e+00
4,"ISA20X20X4","ISA20X20X4",2.0000000000000000e+01,2.0000000000000000e+01,4.0000000000000000e+00,1.4500000000000000e+00,3.7000000000000002e+00,4.0000000000000000e+00
5,"ISA30X30X3","ISA30X30X3",3.0000000000000000e+01,3.0000000000000000e+01,3.0000000000000000e+00,1.7300000000000000e+00,5.7000000000000002e+00,5.0000000000000000e+00
6,"ISA25X25X4","ISA25X25X4",2.5000000000000000e+01,2.5000000000000000e+01,4.0000000000000000e+00,1.8400000000000001e+00,4.7000000000000002e+00,4.5000000000000000e+00
7,"ISA30X20X4","ISA30X20X4",3.0000000000000000e+01,2.0000000000000000e+01,4.0000000000000000e+00,1.8400000000000001e+00,4.0999999999999996e+00,4.5000000000000000e+00
8,"ISA40X25X3","ISA40X25X3",4.0000000000000000e+01,2.5000000000000000e+01,3.0000000000000000e+00,1.8799999999999999e+00,5.2000000000000002e+00,5.0000000000000000e+00
9,"ISA35X35X3","ISA35X35X3",3.5000000000000000e+01,3.5000000000000000e+01,3.0000000000000000e+00,2.0299999999999998e+00,6.7000000000000002e+00,5.0000000000000000e+00
10,"ISA45X30X3","ISA45X30X3",4.5000000000000000e+01,3.0000000000000000e+01,3.0000000000000000e+00,2.1800000000000002e+00,6.2999999999999998e+00,5.0000000000000000e+00
11,"ISA30X20X5","ISA30X20X5",3.0000000000000000e+01,2.0000000000000000e+01,5.0000000000000000e+00,2.2500000000000000e+00,4.0999999999999996e+00,4.5000000000000000e+00
12,"ISA25X25X5","ISA25X25X5",2.5000000000000000e+01,2.5000000000000000e+01,5.0000000000000000e+00,2.2500000000000000e+00,4.7000000000000002e+00,4.5000000000000000e+00
13,"ISA30X30X4","ISA30X30X4",3.0000000000000000e+01,3.0000000000000000e+01,4.0000000000000000e+00,2.2599999999999998e+00,5.7000000000000002e+00,5.0000000000000000e+00
14,"ISA40X40X3","ISA40X40X3",4.0000000000000000e+01,4.0000000000000000e+01,3.0000000000000000e+00,2.3399999999999999e+00,7.7000000000000002e+00,5.5000000000000000e+00
15,"ISA50X30X3","ISA50X30X3",5.0000000000000000e+01,3.0000000000000000e+01,3.0000000000000000e+00,2.3399999999999999e+00,6.5000000000000000e+00,5.5000000000000000e+00
16,"ISA40X25X4","ISA40X25X4",4.0000000000000000e+01,2.5000000000000000e+01,4.0000000000000000e+00,2.4600000000000000e+00,5.2000000000000002e+00,5.0000000000000000e+00
17,"ISA45X45X3","ISA45X45X3",4.5000000000000000e+01,4.5000000000000000e+01,3.0000000000000000e+00,2.6400000000000001e+00,8.6999999999999993e+00,5.5000000000000000e+00
18,"ISA35X35X4","ISA35X35X4",3.5000000000000000e+01,3.5000000000000000e+01,4.0000000000000000e+00,2.6600000000000001e+00,6.7000000000000002e+00,5.0000000000000000e+00
19,"ISA30X30X5","ISA30X30X5",3.0000000000000000e+01,3.0000000000000000e+01,5.0000000000000000e+00,2.7700000000000000e+00,5.7000000000000002e+00,5.0000000000000000e+00
20,"ISA45X30X4","ISA45X30X4",4.5000000000000000e+01,3.0000000000000000e+01,4.0000000000000000e+00,2.8599999999999999e+00,6.2999999999999998e+00,5.0000000000000000e+00
21,"ISA50X50X3","ISA50X50X3",5.0000000000000000e+01,5.0000000000000000e+01,3.0000000000000000e+00,2.9500000000000002e+00,9.6999999999999993e+00,6.0000000000000000e+00
22,"ISA40X25X5","ISA40X25X5",4.0000000000000000e+01,2.5000000000000000e+01,5.0000000000000000e+00,3.0200000000000000e+00,5.2000000000000002e+00,5.0000000000000000e+00
23,"ISA50X30X4","ISA50X30X4",5.0000000000000000e+01,3.0000000000000000e+01,4.0000000000000000e+00,3.0699999999999998e+00,6.2999999999999998e+00,5.5000000000000000e+00
24,"ISA40X40X4","ISA40X40X4",4.0000000000000000e+01,4.0000000000000000e+01,4.0000000000000000e+00,3.0699999999999998e+00,7.7000000000000002e+00,5.5000000000000000e+00
25,"ISA35X35X5","ISA35X35X5",3.5000000000000000e+01,3.5000000000000000e+01,5.0000000000000000e+00,3.2700000000000000e+00,6.7000000000000002e+00,5.0000000000000000e+00
26,"ISA45X45X4","ISA45X45X4",4.5000000000000000e+01,4.5000000000000000e+01,4.0000000000000000e+00,3.4700000000000002e+00,8.6999999999999993e+00,5.5000000000000000e+00
27,"ISA45X30X5","ISA45X30X5",4.5000000000000000e+01,3.0000000000000000e+01,5.0000000000000000e+00,3.5200000000000000e+00,6.2999999999999998e+00,5.0000000000000000e+00
28,"ISA40X25X6","ISA40X25X6",4.0000000000000000e+01,2.5000000000000000e+01,6.0000000000000000e+00,3.5600000000000001e+00,5.2000000000000002e+00,5.0000000000000000e+00
29,"ISA40X40X5","ISA40X40X5",4.0000000000000000e+01,4.0000000000000000e+01,5.0000000000000000e+00,3.7799999999999998e+00,7.7000000000000002e+00,5.5000000000000000e+00
30,"ISA50X30X5","ISA50X30X5",5.0000000000000000e+01,3.0000000000000000e+01,5.0000000000000000e+00,3.7799999999999998e+00,6.2999999999999998e+00,5.5000000000000000e+00
31,"ISA35X35X6","ISA35X35X6",3.5000000000000000e+01,3.5000000000000000e+01,6.0000000000000000e+00,3.8599999999999999e+00,6.7000000000000002e+00,5.0000000000000000e+00
32,"ISA50X50X4","ISA50X50X4",5.0000000000000000e+01,5.0000000000000000e+01,4.0000000000000000e+00,3.8799999999999999e+00,9.6999999999999993e+00,6.0000000000000000e+00
33,"ISA45X30X6","ISA45X30X6",4.5000000000000000e+01,3.0000000000000000e+01,6.0000000000000000e+00,4.1600000000000001e+00,6.2999999999999998e+00,5.0000000000000000e+00
34,"ISA45X45X5","ISA45X45X5",4.5000000000000000e+01,4.5000000000000000e+01,5.0000000000000000e+00,4.2800000000000002e+00,8.6999999999999993e+00,5.5000000000000000e+00
35,"ISA50X30X6","ISA50X30X6",5.0000000000000000e+01,3.0000000000000000e+01,6.0000000000000000e+00,4.4699999999999998e+00,6.2999999999999998e+00,5.5000000000000000e+00
36,"ISA40X40X6","ISA40X40X6",4.0000000000000000e+01,4.0000000000000000e+01,6.0000000000000000e+00,4.4699999999999998e+00,7.7000000000000002e+00,5.5000000000000000e+00
37,"ISA60X40X5","ISA60X40X5",6.0000000000000000e+01,4.0000000000000000e+01,5.0000000000000000e+00,4.7599999999999998e+00,8.5000000000000000e+00,6.0000000000000000e+00
38,"ISA50X50X5","ISA50X50X5",5.0000000000000000e+01,5.0000000000000000e+01,5.0000000000000000e+00,4.7900000000000000e+00,9.6999999999999993e+00,5.5000000000000000e+00
39,"ISA45X45X6","ISA45X45X6",4.5000000000000000e+01,4.5000000000000000e+01,6.0000000000000000e+00,5.0700000000000003e+00,8.6999999999999993e+00,5.5000000000000000e+00
40,"ISA65X45X5","ISA65X45X5",6.5000000000000000e+01,4.5000000000000000e+01,5.0000000000000000e+00,5.2599999999999998e+00,9.5999999999999996e+00,6.0000000000000000e+00
41,"ISA55X55X5","ISA55X55X5",5.5000000000000000e+01,5.5000000000000000e+01,5.0000000000000000e+00,5.2699999999999996e+00,1.0600000000000000e+01,6.5000000000000000e+00
42,"ISA70X45X5","ISA70X45X5",7.0000000000000000e+01,4.5000000000000000e+01,5.0000000000000000e+00,5.5199999999999996e+00,9.5999999999999996e+00,6.5000000000000000e+00
43,"ISA60X40X6","ISA60X40X6",6.0000000000000000e+01,4.0000000000000000e+01,6.0000000000000000e+00,5.6500000000000004e+00,8.5000000000000000e+00,6.0000000000000000e+00
44,"ISA50X50X6","ISA50X50X6",5.0000000000000000e+01,5.0000000000000000e+01,6.0000000000000000e+00,5.6799999999999997e+00,9.5999999999999996e+00,6.0000000000000000e+00
45,"ISA60X60X5","ISA60X60X5",6.0000000000000000e+01,6.0000000000000000e+01,5.0000000000000000e+00,5.7500000000000000e+00,1.1600000000000000e+01,6.5000000000000000e+00
46,"ISA75X50X5","ISA75X50X5",7.5000000000000000e+01,5.0000000000000000e+01,5.0000000000000000e+00,6.0199999999999996e+00,1.0699999999999999e+01,6.5000000000000000e+00
47,"ISA65X65X5","ISA65X65X5",6.5000000000000000e+01,6.5000000000000000e+01,5.0000000000000000e+00,6.2500000000000000e+00,1.2600000000000000e+01,6.5000000000000000e+00
48,"ISA65X45X6","ISA65X45X6",6.5000000000000000e+01,4.5000000000000000e+01,6.0000000000000000e+00,6.2500000000000000e+00,9.5000000000000000e+00,6.0000000000000000e+00
49,"ISA55X55X6","ISA55X55X6",5.5000000000000000e+01,5.5000000000000000e+01,6.0000000000000000e+00,6.2599999999999998e+00,1.0600000000000000e+01,6.5000000000000000e+00
50,"ISA80X50X5","ISA80X50X5",8.0000000000000000e+01,5.0000000000000000e+01,5.0000000000000000e+00,6.2699999999999996e+00,1.0699999999999999e+01,7.0000000000000000e+00
51,"ISA70X45X6","ISA70X45X6",7.0000000000000000e+01,4.5000000000000000e+01,6.0000000000000000e+00,6.5599999999999996e+00,9.5999999999999996e+00,6.5000000000000000e+00
