RECNO,Name,StaadName,AX,D,Bf,Tf,Tw,Iz,Iy,Ct,Ix,Zx,Zy,R1,R2,Rivet Dia,G,G1,h1
1,"ISLC75","ISLC75",7.2599999999999998e+00,7.5000000000000000e+01,4.0000000000000000e+01,6.0000000000000000e+00,3.7000000000000002e+00,6.6099999999999994e+01,1.1500000000000000e+01,1.3999999999999999e+00,6.9999999999999996e-01,2.0199999999999999e+01,5.7000000000000002e+00,6.0000000000000000e+00,2.0000000000000000e+00,1.2000000000000000e+01,2.1000000000000000e+01,0,5.0399999999999999e+01
2,"ISJC100","ISJC100",7.4100000000000001e+00,1.0000000000000000e+02,4.5000000000000000e+01,5.0999999999999996e+00,3.0000000000000000e+00,1.2380000000000000e+02,1.4900000000000000e+01,1.3999999999999999e+00,5.0000000000000000e-01,2.7800000000000001e+01,7.0999999999999996e+00,6.0000000000000000e+00,2.0000000000000000e+00,1.2000000000000000e+01,2.5000000000000000e+01,50,7.7000000000000000e+01
3,"ISMC75","ISMC75",8.6699999999999999e+00,7.5000000000000000e+01,4.0000000000000000e+01,7.2999999999999998e+00,4.4000000000000004e+00,7.6000000000000000e+01,1.2600000000000000e+01,1.3000000000000000e+00,1.3000000000000000e+00,2.3800000000000001e+01,6.5000000000000000e+00,8.5000000000000000e+00,4.5000000000000000e+00,1.2000000000000000e+01,2.1000000000000000e+01,0,4.1399999999999999e+01
4,"ISLC100","ISLC100",1.0020000000000000e+01,1.0000000000000000e+02,5.0000000000000000e+01,6.4000000000000004e+00,4.0000000000000000e+00,1.6469999999999999e+02,2.4800000000000001e+01,1.6000000000000001e+00,1.1000000000000001e+00,3.7600000000000001e+01,1.0400000000000000e+01,6.0000000000000000e+00,2.0000000000000000e+00,1.6000000000000000e+01,2.8000000000000000e+01,50,7.4299999999999997e+01
5,"ISJC125","ISJC125",1.0070000000000000e+01,1.2500000000000000e+02,5.0000000000000000e+01,6.5999999999999996e+00,3.0000000000000000e+00,2.7000000000000000e+02,2.5699999999999999e+01,1.6000000000000001e+00,1.1000000000000001e+00,4.8399999999999999e+01,1.0500000000000000e+01,6.0000000000000000e+00,2.5000000000000000e+00,1.6000000000000000e+01,2.8000000000000000e+01,50,9.8900000000000006e+01
6,"ISMC100","ISMC100",1.1699999999999999e+01,1.0000000000000000e+02,5.0000000000000000e+01,7.5000000000000000e+00,4.7000000000000002e+00,1.8669999999999999e+02,2.5899999999999999e+01,1.5000000000000000e+00,1.8000000000000000e+00,4.3200000000000003e+01,1.1800000000000001e+01,9.0000000000000000e+00,4.5000000000000000e+00,1.6000000000000000e+01,2.8000000000000000e+01,50,6.4000000000000000e+01
7,"ISJC150","ISJC150",1.2650000000000000e+01,1.5000000000000000e+02,5.5000000000000000e+01,6.9000000000000004e+00,3.6000000000000001e+00,4.7100000000000000e+02,3.7899999999999999e+01,1.7000000000000000e+00,1.5000000000000000e+00,7.1000000000000000e+01,1.5300000000000001e+01,7.0000000000000000e+00,3.0000000000000000e+00,2.0000000000000000e+01,3.0000000000000000e+01,50,1.2120000000000000e+02
8,"ISLC125","ISLC125",1.3670000000000000e+01,1.2500000000000000e+02,6.5000000000000000e+01,6.5999999999999996e+00,4.4000000000000004e+00,3.5680000000000001e+02,5.7200000000000003e+01,2.0000000000000000e+00,1.6000000000000001e+00,6.4500000000000000e+01,1.8899999999999999e+01,7.0000000000000000e+00,2.5000000000000000e+00,2.2000000000000000e+01,3.5000000000000000e+01,50,9.6599999999999994e+01
9,"ISJC175","ISJC175",1.4240000000000000e+01,1.7500000000000000e+02,6.0000000000000000e+01,6.9000000000000004e+00,3.6000000000000001e+00,7.1989999999999998e+02,5.0500000000000000e+01,1.8000000000000000e+00,1.6000000000000001e+00,9.3000000000000000e+01,1.9199999999999999e+01,7.0000000000000000e+00,3.0000000000000000e+00,2.0000000000000000e+01,3.5000000000000000e+01,50,1.4609999999999999e+02
10,"ISMC125","ISMC125",1.6190000000000001e+01,1.2500000000000000e+02,6.5000000000000000e+01,8.0999999999999996e+00,5.0000000000000000e+00,4.1639999999999998e+02,5.9899999999999999e+01,1.8999999999999999e+00,2.8999999999999999e+00,7.6299999999999997e+01,2.1500000000000000e+01,9.5000000000000000e+00,5.0000000000000000e+00,2.2000000000000000e+01,3.5000000000000000e+01,55,8.5400000000000006e+01
11,"ISJC200","ISJC200",1.7770000000000000e+01,2.0000000000000000e+02,7.0000000000000000e+01,7.0999999999999996e+00,4.0999999999999996e+00,1.1612000000000000e+03,8.4200000000000003e+01,2.0000000000000000e+00,2.2000000000000002e+00,1.3130000000000001e+02,2.8399999999999999e+01,8.0000000000000000e+00,3.5000000000000000e+00,2.2000000000000000e+01,4.0000000000000000e+01,50,1.6850000000000000e+02
12,"ISLC150","ISLC150",1.8359999999999999e+01,1.5000000000000000e+02,7.5000000000000000e+01,7.7999999999999998e+00,4.7999999999999998e+00,6.9720000000000005e+02,1.0320000000000000e+02,2.3999999999999999e+00,3.0000000000000000e+00,1.0490000000000001e+02,2.9199999999999999e+01,8.0000000000000000e+00,3.5000000000000000e+00,2.5000000000000000e+01,4.0000000000000000e+01,50,1.1700000000000000e+02
