RECNO,Name,StaadName,AX,D,Bf,Tf,Tw,Iz,Ix,Ct,Iy,Zx,Zy
1,"I80012B50012","I80012B50012",3.8700000000000000e+02,8.2400000000000000e+02,5.0000000000000000e+02,1.2000000000000000e+01,1.2000000000000000e+01,4.9445400000000000e+05,2.3200000000000000e+02,0.0000000000000000e+00,4.2371000000000000e+04,1.2394000000000000e+04,2.0150000000000000e+03
2,"I80012A40012","I80012A40012",3.9500000000000000e+02,8.2400000000000000e+02,4.0000000000000000e+02,1.2000000000000000e+01,1.2000000000000000e+01,4.7141600000000000e+05,3.1100000000000000e+02,0.0000000000000000e+00,2.2046000000000000e+04,1.3044000000000000e+04,2.0060000000000000e+03
3,"I80012B55012","I80012B55012",3.9900000000000000e+02,8.2400000000000000e+02,5.5000000000000000e+02,1.2000000000000000e+01,1.2000000000000000e+01,5.1423600000000000e+05,2.3800000000000000e+02,0.0000000000000000e+00,5.0646000000000000e+04,1.2881000000000000e+04,2.3300000000000000e+03
4,"I100012B50012","I100012B50012",4.1100000000000000e+02,1.0240000000000000e+03,5.0000000000000000e+02,1.2000000000000000e+01,1.2000000000000000e+01,7.9910500000000000e+05,2.4300000000000000e+02,0.0000000000000000e+00,4.2374000000000000e+04,1.6384000000000000e+04,2.0220000000000000e+03
5,"I100012A40012","I100012A40012",4.1900000000000000e+02,1.0240000000000000e+03,4.0000000000000000e+02,1.2000000000000000e+01,1.2000000000000000e+01,7.7281500000000000e+05,3.2300000000000000e+02,0.0000000000000000e+00,2.2048000000000000e+04,1.7114000000000000e+04,2.0130000000000000e+03
6,"I80016B50012","I80016B50012",4.1900000000000000e+02,8.2400000000000000e+02,5.0000000000000000e+02,1.6000000000000000e+01,1.2000000000000000e+01,5.1152100000000000e+05,2.9500000000000000e+02,0.0000000000000000e+00,4.2926000000000000e+04,1.3034000000000000e+04,2.0710000000000000e+03
7,"I80012A50012","I80012A50012",4.1900000000000000e+02,8.2400000000000000e+02,5.0000000000000000e+02,1.2000000000000000e+01,1.2000000000000000e+01,5.1097900000000000e+05,3.2300000000000000e+02,0.0000000000000000e+00,3.4246000000000000e+04,1.4018000000000000e+04,2.5460000000000000e+03
8,"I100012B55012","I100012B55012",4.2300000000000000e+02,1.0240000000000000e+03,5.5000000000000000e+02,1.2000000000000000e+01,1.2000000000000000e+01,8.2983100000000000e+05,2.4900000000000000e+02,0.0000000000000000e+00,5.0649000000000000e+04,1.6991000000000000e+04,2.3370000000000000e+03
9,"I80012B50016","I80012B50016",4.2700000000000000e+02,8.3200000000000000e+02,5.0000000000000000e+02,1.2000000000000000e+01,1.6000000000000000e+01,5.6301300000000000e+05,3.1100000000000000e+02,0.0000000000000000e+00,5.0705000000000000e+04,1.4050000000000000e+04,2.5150000000000000e+03
10,"I80016A40012","I80016A40012",4.2700000000000000e+02,8.2400000000000000e+02,4.0000000000000000e+02,1.6000000000000000e+01,1.2000000000000000e+01,4.8848300000000000e+05,3.7500000000000000e+02,0.0000000000000000e+00,2.2474000000000000e+04,1.3684000000000000e+04,2.0690000000000000e+03
