RECNO,Name,StaadName,AX,D,Bf,Tf,Tw,Iz,Ix,Ct,Iy,Zx,Zy
1,"IM350200X010","IM350200X010",1.1500000000000000e+02,3.6600000000000000e+02,1.4000000000000000e+02,1.4000000000000000e+01,8.0000000000000000e+00,2.7350000000000000e+04,4.7000000000000000e+01,0.0000000000000000e+00,3.0240000000000000e+03,1.4890000000000000e+03,3.5400000000000000e+02
2,"IM350200X012","IM350200X012",1.1900000000000000e+02,3.6800000000000000e+02,1.4000000000000000e+02,1.4000000000000000e+01,8.0000000000000000e+00,2.8802000000000000e+04,5.2000000000000000e+01,0.0000000000000000e+00,3.1570000000000000e+03,1.5520000000000000e+03,3.5400000000000000e+02
3,"IM350225X010","IM350225X010",1.2000000000000000e+02,3.6600000000000000e+02,1.4000000000000000e+02,1.4000000000000000e+01,8.0000000000000000e+00,2.8360000000000000e+04,5.0000000000000000e+01,0.0000000000000000e+00,3.8990000000000000e+03,1.5660000000000000e+03,4.1900000000000000e+02
4,"IM350225X012","IM350225X012",1.2400000000000000e+02,3.6800000000000000e+02,1.4000000000000000e+02,1.4000000000000000e+01,8.0000000000000000e+00,2.9902000000000000e+04,5.5000000000000000e+01,0.0000000000000000e+00,4.0320000000000000e+03,1.6350000000000000e+03,4.1900000000000000e+02
5,"IM400200X010","IM400200X010",1.2700000000000000e+02,4.1600000000000000e+02,1.4000000000000000e+02,1.6000000000000000e+01,9.0000000000000000e+00,3.8502000000000000e+04,6.2000000000000000e+01,0.0000000000000000e+00,2.9080000000000000e+03,1.8090000000000000e+03,3.7300000000000000e+02
6,"IM350200X016","IM350200X016",1.2700000000000000e+02,3.7200000000000000e+02,1.4000000000000000e+02,1.4000000000000000e+01,8.0000000000000000e+00,3.1516000000000000e+04,6.8000000000000000e+01,0.0000000000000000e+00,3.4240000000000000e+03,1.6690000000000000e+03,3.5400000000000000e+02
7,"IM350250X010","IM350250X010",1.3000000000000000e+02,3.6700000000000000e+02,1.4000000000000000e+02,1.4000000000000000e+01,8.0000000000000000e+00,3.1531000000000000e+04,5.7000000000000000e+01,0.0000000000000000e+00,5.6570000000000000e+03,1.7500000000000000e+03,4.9800000000000000e+02
8,"IM400200X012","IM400200X012",1.3100000000000000e+02,4.1800000000000000e+02,1.4000000000000000e+02,1.6000000000000000e+01,9.0000000000000000e+00,4.0374000000000000e+04,6.7000000000000000e+01,0.0000000000000000e+00,3.0410000000000000e+03,1.8780000000000000e+03,3.7300000000000000e+02
9,"IM400225X010","IM400225X010",1.3200000000000000e+02,4.1600000000000000e+02,1.4000000000000000e+02,1.6000000000000000e+01,9.0000000000000000e+00,3.9865000000000000e+04,6.5000000000000000e+01,0.0000000000000000e+00,3.7830000000000000e+03,1.9020000000000000e+03,4.3900000000000000e+02
10,"IM350225X016","IM350225X016",1.3200000000000000e+02,3.7200000000000000e+02,1.4000000000000000e+02,1.4000000000000000e+01,8.0000000000000000e+00,3.2793000000000000e+04,7.1000000000000000e+01,0.0000000000000000e+00,4.2990000000000000e+03,1.7620000000000000e+03,4.1900000000000000e+02
11,"IM350250X012","IM350250X012",1.3500000000000000e+02,3.6900000000000000e+02,1.4000000000000000e+02,1.4000000000000000e+01,8.0000000000000000e+00,3.3431000000000000e+04,6.3000000000000000e+01,0.0000000000000000e+00,5.9170000000000000e+03,1.8360000000000000e+03,4.9800000000000000e+02
12,"IM400225X012","IM400225X012",1.3600000000000000e+02,4.1800000000000000e+02,1.4000000000000000e+02,1.6000000000000000e+01,9.0000000000000000e+00,4.1845000000000000e+04,7.0000000000000000e+01,0.0000000000000000e+00,3.9170000000000000e+03,1.9760000000000000e+03,4.3900000000000000e+02
13,"IM350300X010","IM350300X010",1.3700000000000000e+02,3.6800000000000000e+02,1.4000000000000000e+02,1.4000000000000000e+01,8.0000000000000000e+00,3.3028000000000000e+04,5.9000000000000000e+01,0.0000000000000000e+00,8.2020000000000000e+03,1.8540000000000000e+03,6.3600000000000000e+02
14,"IM400200X016","IM400200X016",1.3900000000000000e+02,4.2200000000000000e+02,1.4000000000000000e+02,1.6000000000000000e+01,9.0000000000000000e+00,4.3890000000000000e+04,8.3000000000000000e+01,0.0000000000000000e+00,3.3080000000000000e+03,2.0040000000000000e+03,3.7300000000000000e+02
15,"IM400250X010","IM400250X010",1.4200000000000000e+02,4.1700000000000000e+02,1.4000000000000000e+02,1.6000000000000000e+01,9.0000000000000000e+00,4.4012000000000000e+04,7.2000000000000000e+01,0.0000000000000000e+00,5.5410000000000000e+03,2.1120000000000000e+03,5.1800000000000000e+02
16,"IM350300X012","IM350300X012",1.4200000000000000e+02,3.7000000000000000e+02,1.4000000000000000e+02,1.4000000000000000e+01,8.0000000000000000e+00,3.5077000000000000e+04,6.5000000000000000e+01,0.0000000000000000e+00,8.4630000000000000e+03,1.9490000000000000e+03,6.3600000000000000e+02
17,"IM400225X016","IM400225X016",1.4400000000000000e+02,4.2200000000000000e+02,1.4000000000000000e+02,1.6000000000000000e+01,9.0000000000000000e+00,2.5575000000000000e+04,8.6000000000000000e+01,0.0000000000000000e+00,4.1830000000000000e+03,2.1140000000000000e+03,4.3900000000000000e+02
18,"IM450225X010","IM450225X010",1.4500000000000000e+02,4.6600000000000000e+02,1.5000000000000000e+02,1.7000000000000000e+01,9.0000000000000000e+00,5.5139000000000000e+04,8.2000000000000000e+01,0.0000000000000000e+00,4.1950000000000000e+03,2.3140000000000000e+03,4.8000000000000000e+02
19,"IM350250X016","IM350250X016",1.4500000000000000e+02,3.7300000000000000e+02,1.4000000000000000e+02,1.4000000000000000e+01,8.0000000000000000e+00,3.6948000000000000e+04,8.3000000000000000e+01,0.0000000000000000e+00,6.4380000000000000e+03,1.9940000000000000e+03,4.9800000000000000e+02
20,"IM400250X012","IM400250X012",1.4700000000000000e+02,4.1900000000000000e+02,1.4000000000000000e+02,1.6000000000000000e+01,9.0000000000000000e+00,4.6458000000000000e+04,7.8000000000000000e+01,0.0000000000000000e+00,5.8010000000000000e+03,2.2060000000000000e+03,5.1800000000000000e+02
21,"IM400300X010","IM400300X010",1.4900000000000000e+02,4.1800000000000000e+02,1.4000000000000000e+02,1.6000000000000000e+01,9.0000000000000000e+00,4.6011000000000000e+04,7.3000000000000000e+01,0.0000000000000000e+00,8.0870000000000000e+03,2.2380000000000000e+03,6.5600000000000000e+02
22,"IM450225X012","IM450225X012",1.4900000000000000e+02,4.6800000000000000e+02,1.5000000000000000e+02,1.7000000000000000e+01,9.0000000000000000e+00,5.7605000000000000e+04,8.7000000000000000e+01,0.0000000000000000e+00,4.3290000000000000e+03,2.3940000000000000e+03,4.8000000000000000e+02
23,"IM350300X016","IM350300X016",1.5200000000000000e+02,3.7400000000000000e+02,1.4000000000000000e+02,1.4000000000000000e+01,8.0000000000000000e+00,3.8883000000000000e+04,8.5000000000000000e+01,0.0000000000000000e+00,8.9840000000000000e+03,2.1230000000000000e+03,6.3600000000000000e+02
24,"IM400300X012","IM400300X012",1.5400000000000000e+02,4.2000000000000000e+02,1.4000000000000000e+02,1.6000000000000000e+01,9.0000000000000000e+00,4.8636000000000000e+04,8.0000000000000000e+01,0.0000000000000000e+00,8.3470000000000000e+03,2.3410000000000000e+03,6.5600000000000000e+02
25,"IM450250X010","IM450250X010",1.5600000000000000e+02,4.6700000000000000e+02,1.5000000000000000e+02,1.7000000000000000e+01,9.0000000000000000e+00,6.0395000000000000e+04,8.9000000000000000e+01,0.0000000000000000e+00,5.9530000000000000e+03,2.5510000000000000e+03,5.5800000000000000e+02
26,"IM400250X016","IM400250X016",1.5700000000000000e+02,4.2300000000000000e+02,1.4000000000000000e+02,1.6000000000000000e+01,9.0000000000000000e+00,5.1006000000000000e+04,9.8000000000000000e+01,0.0000000000000000e+00,6.3220000000000000e+03,2.3780000000000000e+03,5.1800000000000000e+02
27,"IM450225X016","IM450225X016",1.5700000000000000e+02,4.7200000000000000e+02,1.5000000000000000e+02,1.7000000000000000e+01,9.0000000000000000e+00,6.2273000000000000e+04,1.0300000000000000e+02,0.0000000000000000e+00,4.5950000000000000e+03,2.5440000000000000e+03,4.8000000000000000e+02
28,"IM450250X012","IM450250X012",1.6100000000000000e+02,4.6900000000000000e+02,1.5000000000000000e+02,1.7000000000000000e+01,9.0000000000000000e+00,6.3446000000000000e+04,9.5000000000000000e+01,0.0000000000000000e+00,6.2130000000000000e+03,2.6520000000000000e+03,5.5800000000000000e+02
29,"IM450300X010","IM450300X010",1.6300000000000000e+02,4.6800000000000000e+02,1.5000000000000000e+02,1.7000000000000000e+01,9.0000000000000000e+00,6.2984000000000000e+04,9.1000000000000000e+01,0.0000000000000000e+00,8.4990000000000000e+03,2.6990000000000000e+03,6.9700000000000000e+02
