RECNO,Name,StaadName,OD,Tw,AX,I,Z
1,"PIP213.0L","PIP213.0L",2.1300000000000001e+01,2.0000000000000000e+00,1.2100000000000000e+00,5.6999999999999995e-01,5.4000000000000004e-01
2,"PIP213.0M","PIP213.0M",2.1300000000000001e+01,2.6499999999999999e+00,1.5500000000000000e+00,6.8999999999999995e-01,6.5000000000000002e-01
3,"PIP213.0H","PIP213.0H",2.1300000000000001e+01,3.2500000000000000e+00,1.8400000000000001e+00,7.6800000000000002e-01,7.2999999999999998e-01
4,"PIP269.0L","PIP269.0L",2.6899999999999999e+01,2.3500000000000001e+00,1.8100000000000001e+00,1.3799999999999999e+00,1.0200000000000000e+00
5,"PIP269.0M","PIP269.0M",2.6899999999999999e+01,2.6499999999999999e+00,2.0200000000000000e+00,1.5000000000000000e+00,1.1200000000000001e+00
6,"PIP269.0H","PIP269.0H",2.6899999999999999e+01,3.2500000000000000e+00,2.4100000000000001e+00,1.7200000000000000e+00,1.2800000000000000e+00
7,"PIP337.0L","PIP337.0L",3.3700000000000003e+01,2.6499999999999999e+00,2.5800000000000001e+00,3.1400000000000001e+00,1.8600000000000001e+00
8,"PIP337.0M","PIP337.0M",3.3700000000000003e+01,3.2500000000000000e+00,3.1099999999999999e+00,3.6499999999999999e+00,2.1600000000000001e+00
9,"PIP337.0H","PIP337.0H",3.3700000000000003e+01,4.0499999999999998e+00,3.7700000000000000e+00,4.2199999999999998e+00,2.5099999999999998e+00
10,"PIP424.0L","PIP424.0L",4.2399999999999999e+01,2.6499999999999999e+00,3.3100000000000001e+00,6.5700000000000003e+00,3.1000000000000001e+00
11,"PIP424.0M","PIP424.0M",4.2399999999999999e+01,3.2500000000000000e+00,4.0000000000000000e+00,7.7100000000000000e+00,3.6400000000000001e+00
12,"PIP424.0H","PIP424.0H",4.2399999999999999e+01,4.0499999999999998e+00,4.8799999999999999e+00,9.0700000000000003e+00,4.2800000000000002e+00
13,"PIP483.0L","PIP483.0L",4.8299999999999997e+01,2.8999999999999999e+00,4.1399999999999997e+00,1.0699999999999999e+01,4.4299999999999997e+00
14,"PIP483.0M","PIP483.0M",4.8299999999999997e+01,3.2500000000000000e+00,4.5999999999999996e+00,1.1730000000000000e+01,4.8600000000000003e+00
15,"PIP483.0H","PIP483.0H",4.8299999999999997e+01,4.0499999999999998e+00,5.6299999999999999e+00,1.3900000000000000e+01,5.7599999999999998e+00
16,"PIP603.0L1","PIP603.0L1",6.0299999999999997e+01,2.8999999999999999e+00,4.1399999999999997e+00,2.1590000000000000e+01,7.1600000000000001e+00
17,"PIP603.0L2","PIP603.0L2",6.0299999999999997e+01,3.2500000000000000e+00,4.5700000000000003e+00,2.3770000000000000e+01,7.8899999999999997e+00
18,"PIP603.0M","PIP603.0M",6.0299999999999997e+01,3.6499999999999999e+00,5.0999999999999996e+00,2.6170000000000002e+01,8.6799999999999997e+00
19,"PIP603.0H","PIP603.0H",6.0299999999999997e+01,4.5000000000000000e+00,6.1699999999999999e+00,3.0899999999999999e+01,1.0199999999999999e+01
20,"PIP761.0L","PIP761.0L",7.6099999999999994e+01,3.2500000000000000e+00,7.4400000000000004e+00,4.9439999999999998e+01,1.3000000000000000e+01
21,"PIP761.0M","PIP761.0M",7.6099999999999994e+01,3.6499999999999999e+00,8.3100000000000005e+00,5.4649999999999999e+01,1.4400000000000000e+01
22,"PIP761.0H","PIP761.0H",7.6099999999999994e+01,4.5000000000000000e+00,1.0100000000000000e+01,6.5120000000000005e+01,1.7100000000000001e+01
23,"PIP889.0L","PIP889.0L",8.8900000000000006e+01,3.2500000000000000e+00,8.7400000000000002e+00,8.0310000000000002e+01,1.8100000000000001e+01
24,"PIP889.0M","PIP889.0M",8.8900000000000006e+01,4.0499999999999998e+00,1.0800000000000001e+01,9.7379999999999995e+01,2.1899999999999999e+01
25,"PIP889.0H","PIP889.0H",8.8900000000000006e+01,4.8499999999999996e+00,1.2800000000000001e+01,1.1345999999999999e+02,2.5500000000000000e+01
