RECNO,Name,StaadName,AX,D,Bf,Tf,Tw,Iz,Ix,Ct,Iy,Zx,Zy
1,"ISNT20","ISNT20",1.4500000000000000e+00,2.0000000000000000e+01,2.0000000000000000e+01,4.0000000000000000e+00,4.0000000000000000e+00,5.0000000000000000e-01,9.0800000000000000e+02,5.9999999999999998e-01,2.0000000000000001e-01,9.5999999999999996e-01,4.7999999999999998e-01
2,"ISNT30","ISNT30",2.2599999999999998e+00,3.0000000000000000e+01,3.0000000000000000e+01,4.0000000000000000e+00,4.0000000000000000e+00,1.8000000000000000e+00,1.2000000000000000e-01,8.1999999999999995e-01,8.0000000000000004e-01,2.0400000000000000e+00,1.0200000000000000e+00
3,"ISNT40","ISNT40",4.4500000000000002e+00,4.0000000000000000e+01,4.0000000000000000e+01,6.0000000000000000e+00,6.0000000000000000e+00,6.0999999999999996e+00,5.5000000000000004e-01,1.1399999999999999e+00,2.8999999999999999e+00,5.5200000000000005e+00,2.7599999999999998e+00
4,"ISNT50","ISNT50",5.6600000000000001e+00,5.0000000000000000e+01,5.0000000000000000e+01,6.0000000000000000e+00,6.0000000000000000e+00,1.2300000000000001e+01,6.9999999999999996e-01,1.3500000000000001e+00,5.7000000000000002e+00,8.4000000000000004e+00,4.2000000000000002e+00
5,"ISNT60","ISNT60",6.8499999999999996e+00,6.0000000000000000e+01,6.0000000000000000e+01,6.0000000000000000e+00,6.0000000000000000e+00,2.1399999999999999e+01,8.3999999999999997e-01,1.5600000000000001e+00,9.6999999999999993e+00,1.1880000000000001e+01,5.9400000000000004e+00
6,"ISMT50","ISMT50",7.3499999999999996e+00,5.0000000000000000e+01,7.0000000000000000e+01,7.5000000000000000e+00,4.5000000000000000e+00,1.0800000000000001e+01,1.1200000000000001e+00,1.0400000000000000e+00,1.7699999999999999e+01,7.2723214285714297e+00,9.4406250000000007e+00
7,"ISMT62.5","ISMT62.5",8.5000000000000000e+00,6.2500000000000000e+01,7.0000000000000000e+01,8.0000000000000000e+00,5.0000000000000000e+00,2.1800000000000001e+01,1.4399999999999999e+00,1.3899999999999999e+00,1.9199999999999999e+01,1.1786852678571428e+01,1.0190625000000001e+01
8,"ISMT75","ISMT75",9.5500000000000007e+00,7.5000000000000000e+01,7.5000000000000000e+01,8.0000000000000000e+00,5.0000000000000000e+00,4.1200000000000003e+01,1.5800000000000001e+00,1.7300000000000000e+00,2.3399999999999999e+01,1.6293749999999999e+01,1.1718750000000000e+01
9,"ISDT100","ISDT100",1.0400000000000000e+01,1.0000000000000000e+02,5.0000000000000000e+01,1.0000000000000000e+01,5.7999999999999998e+00,9.9000000000000000e+01,2.2799999999999998e+00,3.0299999999999998e+00,9.5999999999999996e+00,3.1224137931034484e+01,7.0910000000000002e+00
10,"ISMT87.5","ISMT87.5",1.2400000000000000e+01,8.7500000000000000e+01,8.5000000000000000e+01,9.0000000000000000e+00,5.7999999999999998e+00,7.5599999999999994e+01,2.6099999999999999e+00,2.0600000000000001e+00,3.8399999999999999e+01,2.5450606617647061e+01,1.6992125000000001e+01
11,"ISNT75","ISNT75",1.2699999999999999e+01,7.5000000000000000e+01,7.5000000000000000e+01,9.0000000000000000e+00,9.0000000000000000e+00,6.2000000000000000e+01,3.5400000000000000e+00,2.0400000000000000e+00,2.9199999999999999e+01,2.8350000000000001e+01,1.4175000000000001e+01
12,"ISMT100","ISMT100",1.6199999999999999e+01,1.0000000000000000e+02,1.0000000000000000e+02,1.0800000000000001e+01,5.7000000000000002e+00,1.1600000000000000e+02,4.7800000000000002e+00,2.1000000000000001e+00,7.5000000000000000e+01,3.3681750000000001e+01,2.7812249999999999e+01
13,"ISNT100","ISNT100",1.9000000000000000e+01,1.0000000000000000e+02,1.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,1.6400000000000000e+02,6.5000000000000000e+00,2.6200000000000001e+00,7.6799999999999997e+01,5.5000000000000000e+01,2.7500000000000000e+01
14,"ISHT75","ISHT75",1.9500000000000000e+01,7.5000000000000000e+01,1.5000000000000000e+02,9.0000000000000000e+00,8.4000000000000004e+00,9.6200000000000003e+01,5.0400000000000000e+00,1.6200000000000001e+00,2.3000000000000000e+02,2.8836000000000002e+01,5.1948000000000000e+01
15,"ISDT150","ISDT150",2.0000000000000000e+01,1.5000000000000000e+02,7.5000000000000000e+01,1.1600000000000000e+01,8.0000000000000000e+00,4.5000000000000000e+02,6.3600000000000003e+00,4.7500000000000000e+00,3.7000000000000000e+01,9.1642875000000004e+01,1.8712499999999999e+01
16,"ISHT100","ISHT100",2.5500000000000000e+01,1.0000000000000000e+02,2.0000000000000000e+02,9.0000000000000000e+00,7.7999999999999998e+00,1.9400000000000000e+02,6.3700000000000001e+00,1.9099999999999999e+00,4.9700000000000000e+02,4.5799500000000002e+01,9.1521000000000001e+01
17,"ISNT150","ISNT150",2.8899999999999999e+01,1.5000000000000000e+02,1.5000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,5.4100000000000000e+02,9.8300000000000001e+00,3.6099999999999999e+00,2.5000000000000000e+02,1.2000000000000000e+02,6.0000000000000000e+01
18,"ISHT125","ISHT125",3.4799999999999997e+01,1.2500000000000000e+02,2.5000000000000000e+02,9.6999999999999993e+00,8.8000000000000007e+00,4.1500000000000000e+02,1.0330000000000000e+01,2.3700000000000001e+00,1.0000000000000000e+03,7.8755624999999995e+01,1.5398249999999999e+02
19,"ISLT200","ISLT200",3.6200000000000003e+01,2.0000000000000000e+02,1.6500000000000000e+02,1.2500000000000000e+01,8.0000000000000000e+00,1.2700000000000000e+03,1.4050000000000001e+01,4.7800000000000002e+00,3.5800000000000000e+02,1.7256652462121212e+02,8.8278125000000003e+01
20,"ISHT150","ISHT150",3.7399999999999999e+01,1.5000000000000000e+02,2.5000000000000000e+02,1.0600000000000000e+01,7.5999999999999996e+00,5.7400000000000000e+02,1.2039999999999999e+01,2.6600000000000001e+00,1.1000000000000000e+03,9.7264899999999997e+01,1.6779100000000000e+02
21,"ISLT250","ISLT250",4.7799999999999997e+01,2.5000000000000000e+02,1.8000000000000000e+02,1.4100000000000000e+01,9.1999999999999993e+00,2.7700000000000000e+03,2.3129999999999999e+01,6.4000000000000004e+00,5.3200000000000000e+02,3.0531422777777777e+02,1.1950000000000000e+02
