RECNO,Name,StaadName,AX,D,B,T,Iz,Iy,Ix,Zx,Zy
1,"TUB25252.6","TUB25252.6",2.1600000000000001e+00,2.5000000000000000e+01,2.5000000000000000e+01,2.6000000000000001e+00,1.7200000000000000e+00,1.7200000000000000e+00,2.9199999999999999e+00,1.3799999999999999e+00,1.3799999999999999e+00
2,"TUB25253.2","TUB25253.2",2.5299999999999998e+00,2.5000000000000000e+01,2.5000000000000000e+01,3.2000000000000002e+00,1.8899999999999999e+00,1.8899999999999999e+00,3.3199999999999998e+00,1.5100000000000000e+00,1.5100000000000000e+00
3,"TUB30302.6","TUB30302.6",2.6800000000000002e+00,3.0000000000000000e+01,3.0000000000000000e+01,2.6000000000000001e+00,3.2300000000000000e+00,3.2300000000000000e+00,5.3499999999999996e+00,2.1499999999999999e+00,2.1499999999999999e+00
4,"TUB32322.6","TUB32322.6",2.8799999999999999e+00,3.2000000000000000e+01,3.2000000000000000e+01,2.6000000000000001e+00,4.0199999999999996e+00,4.0199999999999996e+00,6.6100000000000003e+00,2.5099999999999998e+00,2.5099999999999998e+00
5,"TUB30303.2","TUB30303.2",3.1699999999999999e+00,3.0000000000000000e+01,3.0000000000000000e+01,3.2000000000000002e+00,3.6200000000000001e+00,3.6200000000000001e+00,6.1600000000000001e+00,2.4100000000000001e+00,2.4100000000000001e+00
6,"TUB35352.6","TUB35352.6",3.2000000000000002e+00,3.5000000000000000e+01,3.5000000000000000e+01,2.6000000000000001e+00,5.4299999999999997e+00,5.4299999999999997e+00,8.8399999999999999e+00,3.5299999999999998e+00,3.5299999999999998e+00
7,"TUB32323.2","TUB32323.2",3.4199999999999999e+00,3.2000000000000000e+01,3.2000000000000000e+01,3.2000000000000002e+00,4.5400000000000000e+00,4.5400000000000000e+00,7.6399999999999997e+00,2.8399999999999999e+00,2.8399999999999999e+00
8,"TUB38382.6","TUB38382.6",3.5099999999999998e+00,3.8000000000000000e+01,3.8000000000000000e+01,2.6000000000000001e+00,7.1399999999999997e+00,7.1399999999999997e+00,1.1529999999999999e+01,3.7599999999999998e+00,3.7599999999999998e+00
9,"TUB40402.6","TUB40402.6",3.7200000000000002e+00,4.0000000000000000e+01,4.0000000000000000e+01,2.6000000000000001e+00,8.4499999999999993e+00,8.4499999999999993e+00,1.5949999999999999e+01,4.2199999999999998e+00,4.2199999999999998e+00
10,"TUB30304.0","TUB30304.0",3.7500000000000000e+00,3.0000000000000000e+01,3.0000000000000000e+01,4.0000000000000000e+00,3.9700000000000002e+00,3.9700000000000002e+00,7.0300000000000002e+00,2.6400000000000001e+00,2.6400000000000001e+00
11,"TUB50252.9","TUB50252.9",3.7999999999999998e+00,5.0000000000000000e+01,2.5000000000000000e+01,2.8999999999999999e+00,1.0830000000000000e+01,3.6000000000000001e+00,9.0800000000000001e+00,4.3700000000000001e+00,2.8799999999999999e+00
12,"TUB35353.2","TUB35353.2",3.8100000000000001e+00,3.5000000000000000e+01,3.5000000000000000e+01,3.2000000000000002e+00,6.1799999999999997e+00,6.1799999999999997e+00,1.0289999999999999e+01,3.5299999999999998e+00,3.5299999999999998e+00
13,"TUB38382.9","TUB38382.9",3.8599999999999999e+00,3.8000000000000000e+01,3.8000000000000000e+01,2.8999999999999999e+00,7.6799999999999997e+00,7.6799999999999997e+00,1.2430000000000000e+01,4.0400000000000000e+00,4.0400000000000000e+00
14,"TUB32324.0","TUB32324.0",4.0700000000000003e+00,3.2000000000000000e+01,3.2000000000000000e+01,4.0000000000000000e+00,5.0199999999999996e+00,5.0199999999999996e+00,8.7799999999999994e+00,3.1400000000000001e+00,3.1400000000000001e+00
15,"TUB50253.2","TUB50253.2",4.1299999999999999e+00,5.0000000000000000e+01,2.5000000000000000e+01,3.2000000000000002e+00,1.1630000000000001e+01,3.7999999999999998e+00,9.7100000000000009e+00,4.6500000000000004e+00,3.0400000000000000e+00
16,"TUB38383.2","TUB38383.2",4.1900000000000004e+00,3.8000000000000000e+01,3.8000000000000000e+01,3.2000000000000002e+00,8.1799999999999997e+00,8.1799999999999997e+00,1.3490000000000000e+01,4.2999999999999998e+00,4.2999999999999998e+00
17,"TUB45452.6","TUB45452.6",4.2400000000000002e+00,4.5000000000000000e+01,4.5000000000000000e+01,2.6000000000000001e+00,1.2470000000000001e+01,1.2470000000000001e+01,1.9820000000000000e+01,5.5199999999999996e+00,5.5199999999999996e+00
18,"TUB38383.25","TUB38383.25",4.2500000000000000e+00,3.8000000000000000e+01,3.8000000000000000e+01,3.2999999999999998e+00,8.2500000000000000e+00,8.2500000000000000e+00,1.3510000000000000e+01,4.3399999999999999e+00,4.3399999999999999e+00
19,"TUB40403.2","TUB40403.2",4.4500000000000002e+00,4.0000000000000000e+01,4.0000000000000000e+01,3.2000000000000002e+00,9.7200000000000006e+00,9.7200000000000006e+00,1.5949999999999999e+01,4.8600000000000003e+00,4.8600000000000003e+00
20,"TUB35354.0","TUB35354.0",4.5499999999999998e+00,3.5000000000000000e+01,3.5000000000000000e+01,4.0000000000000000e+00,6.9299999999999997e+00,6.9299999999999997e+00,1.1920000000000000e+01,3.9600000000000000e+00,3.9600000000000000e+00
21,"TUB38383.6","TUB38383.6",4.6200000000000001e+00,3.8000000000000000e+01,3.8000000000000000e+01,3.6000000000000001e+00,8.7599999999999998e+00,8.7599999999999998e+00,1.3600000000000000e+01,4.2199999999999998e+00,4.2199999999999998e+00
22,"TUB45452.9","TUB45452.9",4.6699999999999999e+00,4.5000000000000000e+01,4.5000000000000000e+01,2.8999999999999999e+00,1.3449999999999999e+01,1.3449999999999999e+01,2.1640000000000001e+01,5.9800000000000004e+00,5.9800000000000004e+00
23,"TUB40403.6","TUB40403.6",4.9100000000000001e+00,4.0000000000000000e+01,4.0000000000000000e+01,3.6000000000000001e+00,1.0449999999999999e+01,1.0449999999999999e+01,1.7359999999999999e+01,5.2199999999999998e+00,5.2199999999999998e+00
24,"TUB48482.9","TUB48482.9",5.0199999999999996e+00,4.8000000000000000e+01,4.8000000000000000e+01,2.8999999999999999e+00,1.6620000000000001e+01,1.6620000000000001e+01,2.7920000000000002e+01,6.9199999999999999e+00,6.9199999999999999e+00
25,"TUB38384.0","TUB38384.0",5.0300000000000002e+00,3.8000000000000000e+01,3.8000000000000000e+01,4.0000000000000000e+00,9.2599999999999998e+00,9.2599999999999998e+00,1.5720000000000001e+01,4.8700000000000001e+00,4.8700000000000001e+00
