RECNO,Name,StaadName,AX,D,Bf,Tf,Tw,Iz,Ix,Ct,Iy,Zx,Zy
1,"IW350300X010","IW350300X010",1.4300000000000000e+02,3.6800000000000000e+02,2.0000000000000000e+02,1.1000000000000000e+01,8.0000000000000000e+00,3.4942000000000000e+04,5.2000000000000000e+01,0.0000000000000000e+00,8.8410000000000000e+03,1.9580000000000000e+03,7.2500000000000000e+02
2,"IW350300X012","IW350300X012",1.4800000000000000e+02,3.7000000000000000e+02,2.0000000000000000e+02,1.1000000000000000e+01,8.0000000000000000e+00,3.6977000000000000e+04,5.8000000000000000e+01,0.0000000000000000e+00,9.1010000000000000e+03,2.0560000000000000e+03,7.2500000000000000e+02
3,"IW400300X010","IW400300X010",1.5600000000000000e+02,4.1800000000000000e+02,2.0000000000000000e+02,1.3000000000000000e+01,9.0000000000000000e+00,4.9010000000000000e+04,6.4000000000000000e+01,0.0000000000000000e+00,9.0530000000000000e+03,2.3810000000000000e+03,7.5900000000000000e+02
4,"IW350300X016","IW350300X016",1.5800000000000000e+02,3.7400000000000000e+02,2.0000000000000000e+02,1.1000000000000000e+01,8.0000000000000000e+00,4.0775000000000000e+04,7.8000000000000000e+01,0.0000000000000000e+00,9.6220000000000000e+03,2.2280000000000000e+03,7.2500000000000000e+02
5,"IW350350X010","IW350350X010",1.5800000000000000e+02,3.6800000000000000e+02,2.0000000000000000e+02,1.1000000000000000e+01,8.0000000000000000e+00,3.9357000000000000e+04,5.7000000000000000e+01,0.0000000000000000e+00,1.3915000000000000e+04,2.2050000000000000e+03,8.9900000000000000e+02
6,"IW400300X012","IW400300X012",1.6100000000000000e+02,4.2000000000000000e+02,2.0000000000000000e+02,1.3000000000000000e+01,9.0000000000000000e+00,5.1618000000000000e+04,7.0000000000000000e+01,0.0000000000000000e+00,9.3130000000000000e+03,2.4850000000000000e+03,7.5900000000000000e+02
7,"IW350350X012","IW350350X012",1.6500000000000000e+02,3.7000000000000000e+02,2.0000000000000000e+02,1.1000000000000000e+01,8.0000000000000000e+00,4.1903000000000000e+04,6.5000000000000000e+01,0.0000000000000000e+00,1.4461000000000000e+04,2.3260000000000000e+03,8.9900000000000000e+02
8,"IW400300X016","IW400300X016",1.7100000000000000e+02,4.2400000000000000e+02,2.0000000000000000e+02,1.3000000000000000e+01,9.0000000000000000e+00,5.6503000000000000e+04,9.0000000000000000e+01,0.0000000000000000e+00,9.8340000000000000e+03,2.6770000000000000e+03,7.5900000000000000e+02
9,"IW400350X010","IW400350X010",1.7100000000000000e+02,4.1800000000000000e+02,2.0000000000000000e+02,1.3000000000000000e+01,9.0000000000000000e+00,5.4779000000000000e+04,6.9000000000000000e+01,0.0000000000000000e+00,1.4127000000000000e+04,2.6640000000000000e+03,9.3200000000000000e+02
10,"IW450300X010","IW450300X010",1.7200000000000000e+02,4.6800000000000000e+02,2.0000000000000000e+02,1.5000000000000000e+01,9.0000000000000000e+00,6.7696000000000000e+04,8.6000000000000000e+01,0.0000000000000000e+00,9.3710000000000000e+03,2.9050000000000000e+03,8.0900000000000000e+02
11,"IW450300X012","IW450300X012",1.7700000000000000e+02,4.7000000000000000e+02,2.0000000000000000e+02,1.5000000000000000e+01,9.0000000000000000e+00,7.0931000000000000e+04,9.2000000000000000e+01,0.0000000000000000e+00,9.6320000000000000e+03,3.0170000000000000e+03,8.0900000000000000e+02
12,"IW400350X012","IW400350X012",1.7700000000000000e+02,4.2000000000000000e+02,2.0000000000000000e+02,1.3000000000000000e+01,9.0000000000000000e+00,5.8051000000000000e+04,7.7000000000000000e+01,0.0000000000000000e+00,1.4673000000000000e+04,2.7970000000000000e+03,9.3200000000000000e+02
13,"IW350350X016","IW350350X016",1.7700000000000000e+02,3.7400000000000000e+02,2.0000000000000000e+02,1.1000000000000000e+01,8.0000000000000000e+00,4.6583000000000000e+04,9.0000000000000000e+01,0.0000000000000000e+00,1.5553000000000000e+04,2.5450000000000000e+03,8.9900000000000000e+02
14,"IW450350X010","IW450350X010",1.8700000000000000e+02,4.6800000000000000e+02,2.0000000000000000e+02,1.5000000000000000e+01,9.0000000000000000e+00,7.5002000000000000e+04,9.2000000000000000e+01,0.0000000000000000e+00,1.4445000000000000e+04,3.2240000000000000e+03,9.8200000000000000e+02
15,"IW450300X016","IW450300X016",1.8700000000000000e+02,4.7400000000000000e+02,2.0000000000000000e+02,1.5000000000000000e+01,9.0000000000000000e+00,7.7026000000000000e+04,1.1200000000000000e+02,0.0000000000000000e+00,1.0153000000000000e+04,3.2250000000000000e+03,8.0900000000000000e+02
16,"IW400350X016","IW400350X016",1.9000000000000000e+02,4.2400000000000000e+02,2.0000000000000000e+02,1.3000000000000000e+01,9.0000000000000000e+00,6.4094000000000000e+04,1.0200000000000000e+02,0.0000000000000000e+00,1.5765000000000000e+04,3.0390000000000000e+03,9.3200000000000000e+02
17,"IW450350X012","IW450350X012",1.9300000000000000e+02,4.7000000000000000e+02,2.0000000000000000e+02,1.5000000000000000e+01,9.0000000000000000e+00,7.9075000000000000e+04,9.9000000000000000e+01,0.0000000000000000e+00,1.4992000000000000e+04,3.3680000000000000e+03,9.8200000000000000e+02
18,"IW450350X016","IW450350X016",2.0600000000000000e+02,4.7400000000000000e+02,2.0000000000000000e+02,1.5000000000000000e+01,9.0000000000000000e+00,8.6641000000000000e+04,1.2500000000000000e+02,0.0000000000000000e+00,1.6084000000000000e+04,3.6320000000000000e+03,9.8200000000000000e+02
19,"IW500350X010","IW500350X010",2.0700000000000000e+02,5.1800000000000000e+02,2.5000000000000000e+02,1.5000000000000000e+01,1.0000000000000000e+01,1.0191200000000000e+05,1.0000000000000000e+02,0.0000000000000000e+00,1.5727000000000000e+04,3.9000000000000000e+03,1.1360000000000000e+03
20,"IW500350X012","IW500350X012",2.1300000000000000e+02,5.2000000000000000e+02,2.5000000000000000e+02,1.5000000000000000e+01,1.0000000000000000e+01,1.0685400000000000e+05,1.0800000000000000e+02,0.0000000000000000e+00,1.6273000000000000e+04,4.0540000000000000e+03,1.1360000000000000e+03
21,"IW350350X1020","IW350350X1020",2.1500000000000000e+02,3.8800000000000000e+02,2.0000000000000000e+02,1.1000000000000000e+01,8.0000000000000000e+00,6.1115000000000000e+04,1.4000000000000000e+02,0.0000000000000000e+00,1.7947000000000000e+04,3.3170000000000000e+03,1.3680000000000000e+03
22,"IW500400X010","IW500400X010",2.1600000000000000e+02,5.1900000000000000e+02,2.5000000000000000e+02,1.5000000000000000e+01,1.0000000000000000e+01,1.0617300000000000e+05,1.0900000000000000e+02,0.0000000000000000e+00,2.0801000000000000e+04,4.1190000000000000e+03,1.3530000000000000e+03
23,"IW500400X012","IW500400X012",2.2300000000000000e+02,5.2100000000000000e+02,2.5000000000000000e+02,1.5000000000000000e+01,1.0000000000000000e+01,1.1145400000000000e+05,1.1700000000000000e+02,0.0000000000000000e+00,2.1347000000000000e+04,4.2870000000000000e+03,1.3530000000000000e+03
24,"IW500350X016","IW500350X016",2.2600000000000000e+02,5.2400000000000000e+02,2.5000000000000000e+02,1.5000000000000000e+01,1.0000000000000000e+01,1.1610000000000000e+05,1.3300000000000000e+02,0.0000000000000000e+00,1.7365000000000000e+04,4.3380000000000000e+03,1.1360000000000000e+03
25,"IW400350X1020","IW400350X1020",2.2800000000000000e+02,4.3800000000000000e+02,2.0000000000000000e+02,1.3000000000000000e+01,9.0000000000000000e+00,8.2554000000000000e+04,1.5200000000000000e+02,0.0000000000000000e+00,1.8159000000000000e+04,3.9130000000000000e+03,1.4010000000000000e+03
26,"IW550350X010","IW550350X010",2.2900000000000000e+02,5.6800000000000000e+02,2.5000000000000000e+02,1.8000000000000000e+01,1.1000000000000000e+01,1.3528200000000000e+05,1.4300000000000000e+02,0.0000000000000000e+00,1.6479000000000000e+04,4.6890000000000000e+03,1.2300000000000000e+03
27,"IW500400X016","IW500400X016",2.3500000000000000e+02,5.2500000000000000e+02,2.5000000000000000e+02,1.5000000000000000e+01,1.0000000000000000e+01,1.2136200000000000e+05,1.4200000000000000e+02,0.0000000000000000e+00,2.2440000000000000e+04,4.5980000000000000e+03,1.3530000000000000e+03
28,"IW550350X012","IW550350X012",2.3500000000000000e+02,5.7000000000000000e+02,2.5000000000000000e+02,1.8000000000000000e+01,1.1000000000000000e+01,1.4116900000000000e+05,1.5000000000000000e+02,0.0000000000000000e+00,1.7025000000000000e+04,4.8530000000000000e+03,1.2300000000000000e+03
29,"IW350350X1225","IW350350X1225",2.3600000000000000e+02,3.9500000000000000e+02,2.0000000000000000e+02,1.1000000000000000e+01,8.0000000000000000e+00,6.9580000000000000e+04,2.2800000000000000e+02,0.0000000000000000e+00,1.9573000000000000e+04,3.7230000000000000e+03,1.4770000000000000e+03
30,"IW550400X010","IW550400X010",2.3800000000000000e+02,5.6900000000000000e+02,2.5000000000000000e+02,1.8000000000000000e+01,1.1000000000000000e+01,1.4057000000000000e+05,1.5200000000000000e+02,0.0000000000000000e+00,2.1554000000000000e+04,4.9380000000000000e+03,1.4460000000000000e+03
31,"IW450350X1020","IW450350X1020",2.4400000000000000e+02,4.8800000000000000e+02,2.0000000000000000e+02,1.5000000000000000e+01,9.0000000000000000e+00,1.0950100000000000e+05,1.7500000000000000e+02,0.0000000000000000e+00,1.8478000000000000e+04,4.6090000000000000e+03,1.4510000000000000e+03
32,"IW550400X012","IW550400X012",2.4500000000000000e+02,5.7100000000000000e+02,2.5000000000000000e+02,1.8000000000000000e+01,1.1000000000000000e+01,1.4683000000000000e+05,1.6000000000000000e+02,0.0000000000000000e+00,2.2100000000000000e+04,5.1160000000000000e+03,1.4460000000000000e+03
33,"IW550350X016","IW550350X016",2.4800000000000000e+02,5.7400000000000000e+02,2.5000000000000000e+02,1.8000000000000000e+01,1.1000000000000000e+01,1.5225100000000000e+05,1.7600000000000000e+02,0.0000000000000000e+00,1.8118000000000000e+04,5.1590000000000000e+03,1.2300000000000000e+03
